ts_start,ts_end,iteration,case,file_hits,net_hits,exec_hits,iouring_hits,wazuh_alerts,time_to_detect
1765948315,1765948316,1,file_io_traditional,2283,1070,126,0,1,0
1765948327,1765948328,1,file_io_uring,7245,1191,154,6,0,0
1765948342,1765948349,1,read_file_traditional,4280,12847,94,0,0,0
1765948381,1765948382,1,openat_uring,6895,1105,124,12,0,0
1765948395,1765948399,1,net_connect_traditional,2830,1823,142,0,4,0
1765948419,1765948419,1,net_connect_uring,5605,386,130,6,0,0
1765948438,1765948439,1,exec_cmd_traditional,5110,1165,106,0,0,0
1765948449,1765948450,2,file_io_traditional,2557,844,202,0,3,0
1765948458,1765948458,2,file_io_uring,68,268,0,6,0,0
1765948466,1765948467,2,read_file_traditional,5558,493,136,0,0,0
1765948488,1765948494,2,openat_uring,11483,5683,166,12,0,0
1765948514,1765948514,2,net_connect_traditional,6459,1012,130,0,0,0
1765948522,1765948525,2,net_connect_uring,4324,889,178,6,4,0
1765948532,1765948533,2,exec_cmd_traditional,7526,771,166,0,3,0
1765948571,1765948572,3,file_io_traditional,4146,124,130,0,0,0
1765948589,1765948589,3,file_io_uring,3552,1017,130,6,0,0
1765948607,1765948616,3,read_file_traditional,9401,10762,130,0,1,0
1765948632,1765948635,3,openat_uring,7865,1642,136,12,0,0
1765948652,1765948652,3,net_connect_traditional,0,503,142,0,0,0
1765948661,1765948661,3,net_connect_uring,148,202,124,6,0,0
1765948676,1765948680,3,exec_cmd_traditional,5691,5662,94,0,0,0
1765948696,1765948697,4,file_io_traditional,8245,1527,154,0,0,0
1765948709,1765948709,4,file_io_uring,1454,233,130,6,0,0
1765948716,1765948716,4,read_file_traditional,68,133,118,0,0,0
1765948725,1765948725,4,openat_uring,1284,776,142,12,0,0
1765948744,1765948751,4,net_connect_traditional,6425,9833,130,0,0,0
1765948773,1765948774,4,net_connect_uring,2422,1203,136,6,0,0
1765948784,1765948787,4,exec_cmd_traditional,3236,1548,160,0,0,0
1765948818,1765948820,5,file_io_traditional,6962,1533,102,0,0,0
1765948834,1765948835,5,file_io_uring,8561,1085,166,6,16,0
1765948844,1765948845,5,read_file_traditional,1200,33,124,0,0,0
1765948855,1765948855,5,openat_uring,1333,578,148,12,0,0
1765948862,1765948867,5,net_connect_traditional,6134,4787,166,0,0,0
1765948894,1765948895,5,net_connect_uring,6750,768,154,6,0,0
1765948910,1765948911,5,exec_cmd_traditional,2048,846,160,0,2,0
1765948919,1765948919,6,file_io_traditional,4107,132,102,0,0,0
1765948937,1765948937,6,file_io_uring,5775,916,78,6,0,0
1765948953,1765948954,6,read_file_traditional,3750,248,84,0,0,0
1765948966,1765948967,6,openat_uring,4388,1329,166,12,27,0
1765948976,1765948977,6,net_connect_traditional,156,171,142,0,0,0
1765948987,1765948987,6,net_connect_uring,3300,3565,78,6,0,0
1765949004,1765949007,6,exec_cmd_traditional,8022,1924,136,0,0,0
1765949020,1765949021,7,file_io_traditional,7053,710,166,0,0,0
1765949029,1765949030,7,file_io_uring,285,51,106,6,0,0
1765949037,1765949037,7,read_file_traditional,5310,512,136,0,0,0
1765949051,1765949052,7,openat_uring,3743,2918,106,12,0,0
1765949075,1765949076,7,net_connect_traditional,4839,1642,142,0,0,0
1765949086,1765949087,7,net_connect_uring,1531,731,148,6,0,0
1765949094,1765949095,7,exec_cmd_traditional,8468,858,172,0,2,0
1765949104,1765949104,8,file_io_traditional,489,45,142,0,0,0
1765949122,1765949125,8,file_io_uring,8137,5085,118,6,3,0
1765949148,1765949149,8,read_file_traditional,408,790,148,0,0,0
1765949157,1765949157,8,openat_uring,666,555,148,12,0,0
1765949165,1765949166,8,net_connect_traditional,1542,62,102,0,3,0
1765949175,1765949176,8,net_connect_uring,4824,1347,124,6,1,0
1765949213,1765949213,8,exec_cmd_traditional,4790,658,124,0,0,0
1765949224,1765949227,9,file_io_traditional,5001,945,202,0,0,0
1765949240,1765949240,9,file_io_uring,4917,0,130,6,0,0
1765949257,1765949258,9,read_file_traditional,5619,497,130,0,0,0
1765949272,1765949272,9,openat_uring,4788,319,124,12,0,0
1765949280,1765949281,9,net_connect_traditional,7202,813,142,0,5,0
1765949289,1765949292,9,net_connect_uring,2856,93,154,6,3,0
1765949298,1765949299,9,exec_cmd_traditional,5577,542,166,0,5,0
1765949312,1765949321,10,file_io_traditional,7741,16369,148,0,0,0
1765949343,1765949348,10,file_io_uring,6524,2753,166,6,1,0
1765949363,1765949365,10,read_file_traditional,5639,1046,136,0,0,0
1765949379,1765949382,10,openat_uring,3553,6181,118,12,0,0
1765949396,1765949398,10,net_connect_traditional,450,664,142,0,27,0
1765949408,1765949409,10,net_connect_uring,6831,1331,130,6,0,0
1765949417,1765949418,10,exec_cmd_traditional,6156,476,160,0,0,0
